symbol,q_chg_rate,a_chg_rate,update_time
AIR,0.3047,2.4937,2022-05-31
ASTL,0.3503,inf,2022-06-30
CALM,13.412,21.8147,2022-05-31
CTRN,0.5973,0.8277,2022-04-30
CVCO,0.3107,0.567,2022-06-30
EA,0.697,0.4447,2022-06-30
FIVE,1.134,0.376,2022-04-30
GIII,1.2087,2.2233,2022-04-30
JHX,0.455,0.2923,2022-06-30
LOW,0.3017,0.633,2022-07-31
LZB,0.4643,0.3377,2022-04-30
MCHP,0.2843,0.8803,2022-06-30
RPM,1.4477,0.2657,2022-05-31
SMCI,0.7587,0.6673,2022-06-30
SMFG,inf,0.5193,2022-06-30
SPWH,0.319,1.166,2022-04-30
SYY,0.306,0.716,2022-06-30
THR,10.5197,5.8683,2022-06-30
UHAL,0.6107,0.4703,2022-06-30
WMT,0.4227,0.412,2022-07-31
