date,total_score
2019/8/6,-9.4
2019/8/7,-12.9
2019/8/8,-12.9
2019/8/9,-6.4
2019/8/12,-20.4
2019/8/13,-14.9
2019/8/14,-22.4
2019/8/15,-22.4
2019/8/16,-18.9
2019/8/19,-18.9
2019/8/20,-15.9
2019/8/21,-13.9
2019/8/22,-16.9
2019/8/23,-26.4
2019/8/26,-13.9
2019/8/27,-22.9
2019/8/28,-15.9
2019/8/29,-15.9
2019/8/30,-22.4
2019/9/3,-16.9
2019/9/4,-22.4
2019/9/5,-22.4
2019/9/6,-13.9
2019/9/9,-15.9
2019/9/10,-12.9
2019/9/11,-9.9
2019/9/12,-13.4
2019/9/13,-7.8
2019/9/16,-10.8
2019/9/17,-7.8
2019/9/18,-5.8
2019/9/19,-0.8
2019/9/20,-14.3
2019/9/23,-5.8
2019/9/24,-21.8
2019/9/25,-21.8
2019/9/26,-9.3
2019/9/27,-5.8
2019/9/30,-10.8
2019/10/1,-5.8
2019/10/2,-0.8
2019/10/3,-10.8
2019/10/4,-16.3
2019/10/7,-14.3
2019/10/8,-9.3
2019/10/9,-5.8
2019/10/10,-3.8
2019/10/11,-0.8
2019/10/14,-4.3
2019/10/15,9.685386116
2019/10/16,7.346337379
2019/10/17,12.16897551
2019/10/18,8.735364563
2019/10/21,-9.3
2019/10/22,12.44793158
2019/10/23,14.48823313
2019/10/24,-5
2019/10/25,-9.4
2019/10/28,-5.9
2019/10/29,-4.2
2019/10/30,-2.2
2019/10/31,9.575936668
2019/11/1,5.954944244
2019/11/4,-6.2
2019/11/5,7.312026483
2019/11/6,0.45218316
2019/11/7,-4.9
2019/11/8,9.437353205
2019/11/11,1.9
2019/11/12,6.269127479
2019/11/13,3.086379649
2019/11/14,6.848787033
2019/11/15,13.7910505
2019/11/18,12.2627978
2019/11/19,3.941190252
2019/11/20,5.040103924
2019/11/21,12.21750732
2019/11/22,-0.4
2019/11/25,-0.4
2019/11/26,14.24181368
2019/11/27,20.42678324
2019/11/29,23.84603755
2019/12/2,16.31083745
2019/12/3,17.2894052
2019/12/4,18.34438091
2019/12/5,20.33395238
2019/12/6,17.79481025
